nombre,poblacion,superficie,continente
Afganistán,41128771,652230.0,Asia
Albania,2837743,28748.0,Europa
Alemania,83149300,357022.0,Europa
Andorra,79824,468.0,Europa
Angola,35588987,1246700.0,África
Antigua y Barbuda,94018,442.0,América
Arabia Saudita,37000000,2149690.0,Asia
Argelia,44903225,2381741.0,África
Argentina,45376763,2780400.0,América
Armenia,2963243,29743.0,Asia
Australia,26640993,7692024.0,Oceanía
Austria,9010000,83879.0,Europa
Azerbaiyán,10358000,86600.0,Asia
Bahamas,409984,13943.0,América
Bangladés,172954319,147570.0,Asia
Barbados,281995,430.0,América
Bélgica,11589623,30528.0,Europa
Belice,405272,22966.0,América
Benín,13649724,112622.0,África
Bielorrusia,9408400,207600.0,Europa
Bolivia,12224110,1098581.0,América
Bosnia y Herzegovina,3223914,51197.0,Europa
Botsuana,2630296,581730.0,África
Brasil,213993437,8515767.0,América
Brunéi,460345,5765.0,Asia
Bulgaria,6804222,110879.0,Europa
Burkina Faso,22815176,272967.0,África
Burundi,12837750,27834.0,África
Cabo Verde,598682,4033.0,África
Camboya,16767842,181035.0,Asia
Camerún,28491000,475442.0,África
Canadá,38929902,9984670.0,América
Catar,2695120,11586.0,Asia
Chile,19603733,756102.0,América
China,1412600000,9596961.0,Asia
Chipre,1272000,9251.0,Europa
Colombia,51874024,1141748.0,América
Comoras,836774,2235.0,África
Congo (Rep. del),5970424,342000.0,África
Congo (Rep. Dem.),95757000,2344858.0,África
Corea del Norte,25778815,120540.0,Asia
Corea del Sur,51784059,100210.0,Asia
Costa Rica,5182352,51100.0,América
Costa de Marfil,28481844,322463.0,África
Croacia,3875334,56594.0,Europa
Cuba,11116345,109884.0,América
Dinamarca,5899170,43094.0,Europa
Ecuador,18001000,276841.0,América
Egipto,111000000,1002450.0,África
El Salvador,6535760,21041.0,América
Emiratos Árabes Unidos,9516870,83600.0,Asia
Eslovaquia,5457873,49035.0,Europa
Eslovenia,2119675,20273.0,Europa
España,47824650,505992.0,Europa
Estados Unidos,334915074,9833517.0,América
Estonia,1331057,45227.0,Europa
Etiopía,120283026,1104300.0,África
Filipinas,113880328,300000.0,Asia
Finlandia,5554960,338455.0,Europa
Francia,67842582,551695.0,Europa
Gabón,2388992,267668.0,África
Gambia,2705992,11295.0,África
Georgia,3736400,69700.0,Asia
Ghana,33475840,238533.0,África
Grecia,10432481,131957.0,Europa
Guatemala,18440000,108889.0,América
Guinea,14029850,245857.0,África
Guinea Ecuatorial,1831018,28051.0,África
Haití,11584900,27750.0,América
Honduras,10680000,112492.0,América
Hungría,9595736,93028.0,Europa
India,1409900000,3287263.0,Asia
Indonesia,276361783,1904569.0,Asia
Irak,45504560,438317.0,Asia
Irán,89236000,1648195.0,Asia
Irlanda,5033202,70273.0,Europa
Islandia,387758,103000.0,Europa
Israel,9584000,22072.0,Asia
Italia,58870762,301340.0,Europa
Jamaica,2825544,10991.0,América
Japón,125800000,377975.0,Asia
Jordania,11148200,89342.0,Asia
Kazajistán,19606633,2724900.0,Asia
Kenia,55930000,580367.0,África
Kirguistán,6763000,199951.0,Asia
Laos,7529475,236800.0,Asia
Letonia,1867000,64589.0,Europa
Líbano,5353930,10452.0,Asia
Liberia,5544000,111369.0,África
Libia,7073400,1759540.0,África
Lituania,2828000,65300.0,Europa
Luxemburgo,660809,2586.0,Europa
Madagascar,29611714,587041.0,África
Malasia,33481000,330803.0,Asia
Mali,22592000,1240192.0,África
Malta,542051,316.0,Europa
Marruecos,37457900,446550.0,África
México,126014024,1964375.0,América
Moldavia,2558000,33846.0,Europa
Mónaco,39242,2.0,Europa
Mongolia,3447156,1564110.0,Asia
Mozambique,33897357,801590.0,África
Namibia,2630078,825615.0,África
Nepal,30225582,147516.0,Asia
Nicaragua,6817000,130373.0,América
Nigeria,223800000,923769.0,África
Noruega,5473000,385207.0,Europa
Nueva Zelanda,5160000,268838.0,Oceanía
Omán,4649000,309500.0,Asia
Países Bajos,17650200,41543.0,Europa
Pakistán,241499000,881913.0,Asia
Panamá,4370000,75417.0,América
Paraguay,6956000,406752.0,América
Perú,34050000,1285216.0,América
Polonia,37471181,312679.0,Europa
Portugal,10315000,92212.0,Europa
Reino Unido,67671145,243610.0,Europa
República Checa,10701777,78866.0,Europa
República Dominicana,10906000,48671.0,América
Rumania,19000000,238397.0,Europa
Rusia,144713314,17098242.0,Europa/Asia
Senegal,17832000,196722.0,África
Serbia,6644000,77474.0,Europa
Singapur,5637000,728.0,Asia
Sudáfrica,60414495,1219090.0,África
Suecia,10560000,450295.0,Europa
Suiza,8809000,41285.0,Europa
Tailandia,71723000,513120.0,Asia
Tanzania,65480000,945087.0,África
Túnez,12260000,163610.0,África
Turquía,86146000,783562.0,Asia/Europa
Ucrania,37750000,603550.0,Europa
Uruguay,3428000,176215.0,América
Uzbekistán,35530000,447400.0,Asia
Venezuela,28300000,916445.0,América
Vietnam,100300000,331212.0,Asia
Yemen,33690000,527968.0,Asia
Zambia,20020000,752612.0,África
Zimbabue,16320000,390757.0,África
